Len_A,Len_B,Knuth_ms,NR_ms
500,25,33.00003475,14.9999815
500,30,34.99999875,14.9999815
500,35,34.99999875,14.9999815
500,40,35.99998076,14.9999815
500,45,36.99996276,14.9999815
500,50,38.00000763,14.9999815
500,50,34.99999875,14.9999815
500,55,38.00000763,15.99996351
500,60,39.99997163,15.00004437
500,65,39.99997163,15.00004437
500,70,39.99997163,14.9999815
500,75,40.99995364,15.99996351
500,80,41.9999985,15.99996351
500,85,42.99998051,14.9999815
500,90,42.99998051,14.9999815
500,95,45.00000738,15.99996351
500,100,43.99996251,15.99996351
500,100,46.99997138,15.00004437
500,150,52.99998913,15.99996351
500,200,59.00000688,15.99996351
500,250,65.00002462,16.00002637
500,300,73.00000638,16.00002637
500,350,77.99997926,16.99994551
500,400,83.999997,16.99994551
500,450,91.99997876,17.00000837
500,500,96.0000325,17.00000837
550,5,32.99997188,15.99996351
550,10,34.00001675,17.00000837
550,15,34.99999875,15.99996351
550,20,35.00006162,15.99996351
550,25,35.99998076,15.99996351
550,30,37.00002562,15.99996351
550,35,38.00000763,15.99996351
550,40,38.99998963,15.99996351
550,45,39.99997163,15.99996351
550,50,40.99995364,15.99996351
550,55,41.9999985,16.00002637
550,60,42.99998051,15.99996351
550,65,43.99996251,15.99996351
550,70,44.00002537,15.99996351
550,75,43.99996251,17.00000837
550,80,45.99998938,15.99996351
550,85,45.99998938,17.00000837
550,90,46.99997138,16.00002637
550,95,49.99998026,15.99996351
550,100,48.99999825,17.00000837
600,5,34.99999875,17.00000837
600,10,36.99996276,17.99999038
600,15,37.99994476,17.00000837
600,20,38.99998963,16.99994551
600,25,39.99997163,17.00000837
600,30,41.0000165,17.00000837
600,35,41.0000165,17.00000837
600,40,42.99998051,17.00000837
600,45,44.00002537,17.00000837
600,50,45.00000738,17.00000837
600,55,45.00000738,16.99994551
600,60,45.99998938,17.00000837
600,65,46.99997138,17.99999038
600,70,48.00001625,17.99999038
600,75,47.99995339,17.99999038
600,80,49.99998026,17.99999038
600,85,51.00002512,17.99999038
600,90,52.00000713,17.99999038
600,95,53.99997113,18.99997238
600,100,53.99997113,17.99999038
650,5,38.99998963,18.99997238
650,10,41.0000165,19.99995438
650,15,41.9999985,18.99997238
650,20,42.99998051,19.00003524
650,25,43.99996251,18.99997238
650,30,45.00000738,18.99997238
650,35,45.00000738,18.99997238
650,40,45.99998938,18.99997238
650,45,47.99995339,18.99997238
650,50,47.99995339,18.99997238
650,55,48.99999825,19.00003524
650,60,50.99996226,18.99997238
650,65,50.99996226,18.99997238
650,70,50.99996226,18.99997238
650,75,52.99998913,18.99997238
650,80,53.99997113,18.99997238
650,85,54.000034,18.99997238
650,90,55.000016,18.99997238
650,95,58.99994401,20.00001725
650,100,57.99996201,18.99997238
700,5,41.0000165,20.00001725
700,10,42.99998051,20.99999925
700,15,45.00000738,26.99995413
700,20,45.00000738,27.000017
700,25,46.00005224,26.99995413
700,30,48.00001625,27.999999
700,35,47.99995339,27.999999
700,40,49.99998026,27.999999
700,45,50.99996226,27.999999
700,50,51.99994426,27.999999
700,55,52.99998913,27.999999
700,60,53.99997113,27.999999
700,65,55.999998,27.999999
700,70,54.99995314,28.999981
700,75,55.999998,28.999981
700,80,57.99996201,28.999981
700,85,59.00000688,28.999981
700,90,59.99998888,28.999981
700,95,62.99999775,28.999981
700,100,62.00001575,27.999999
750,5,43.99996251,21.99998125
750,10,45.99998938,21.99998125
750,15,48.99999825,28.999981
750,20,48.00001625,28.999981
750,25,49.99998026,28.999981
750,30,51.99994426,29.00004387
750,35,52.00000713,28.999981
750,40,52.99998913,29.00004387
750,45,55.999998,28.999981
750,50,55.999998,29.99996301
750,50,61.99995289,30.99994501
750,55,56.99998001,29.99996301
750,60,58.99994401,30.00002587
750,65,59.99998888,29.99996301
750,70,59.99998888,29.99996301
750,75,60.99997088,29.99996301
750,80,62.00001575,31.00000788
750,85,63.99997976,29.99996301
750,90,63.99997976,30.99994501
750,95,67.99997063,30.00002587
750,100,66.99998863,31.00000788
750,100,67.99997063,31.00000788
750,150,81.99997013,31.99998988
750,200,89.99995189,32.99997188
750,250,104.9999963,32.99997188
750,300,111.999996,34.00001675
750,350,125.9999955,34.99999875
750,400,130.9999684,34.99999875
750,450,143.9999859,34.99999875
750,500,148.0000396,34.99999875
750,550,160.0000123,35.99998076
750,600,169.999958,36.99996276
750,650,180.9999486,36.99996276
750,700,191.0000201,37.00002562
750,750,198.0000199,37.00002562
800,5,47.00003425,22.99996326
800,10,50.00004312,24.00000812
800,15,49.99998026,31.00000788
800,20,52.00000713,31.00000788
800,25,53.99997113,31.99998988
800,30,55.000016,31.00000788
800,35,55.000016,31.00000788
800,40,56.99998001,31.00000788
800,45,57.99996201,31.00000788
800,50,59.00000688,31.00000788
800,55,59.00000688,31.99998988
800,60,61.99995289,31.99998988
800,65,62.99999775,31.99998988
800,70,62.99999775,31.99998988
800,75,64.99996176,31.99998988
800,80,66.00000663,31.99998988
800,85,66.99998863,31.99998988
800,90,67.99997063,31.00000788
800,95,71.99996151,31.99998988
800,100,70.99997951,31.99998988
850,5,49.99998026,24.99999013
850,10,52.00000713,26.000035
850,15,53.99997113,32.99997188
850,20,55.000016,32.99997188
850,25,57.99996201,31.99998988
850,30,57.99996201,32.99997188
850,35,59.00000688,32.99997188
850,40,60.99997088,32.99997188
850,45,62.99999775,33.99995388
850,50,63.99997976,32.99997188
850,55,63.99997976,34.00001675
850,60,66.00000663,33.99995388
850,65,67.99997063,33.99995388
850,70,67.99997063,33.99995388
850,75,69.0000155,34.00001675
850,80,71.00004237,34.00001675
850,85,71.99996151,34.00001675
850,90,72.99994351,33.99995388
850,95,76.99999725,34.00001675
850,100,76.00001525,33.99995388
900,5,53.99997113,38.99998963
900,10,55.999998,40.0000345
900,15,56.99998001,34.00001675
900,20,57.99996201,34.00001675
900,25,59.99998888,34.00001675
900,30,62.00001575,33.99995388
900,35,62.00001575,34.99999875
900,40,63.99997976,34.99999875
900,45,66.00000663,34.99999875
900,50,66.99998863,34.99999875
900,55,68.99995264,34.99999875
900,60,70.99997951,35.99998076
900,65,71.99996151,35.99998076
900,70,72.00002437,34.99999875
900,75,73.99998838,34.99999875
900,80,75.00003325,34.99999875
900,85,76.99999725,35.99998076
900,90,76.99999725,35.99998076
900,95,82.000033,35.99998076
900,100,80.00000613,35.99998076
950,5,56.99998001,41.9999985
950,10,59.00000688,42.99998051
950,15,60.99997088,36.99996276
950,20,60.99997088,36.99996276
950,25,62.99999775,36.99996276
950,30,66.00000663,36.99996276
950,35,65.99994376,37.00002562
950,40,68.0000335,38.00000763
950,45,69.9999975,38.00000763
950,50,70.99997951,38.00000763
950,55,71.99996151,38.00000763
950,60,73.99998838,36.99996276
950,65,75.99995239,38.00000763
950,70,76.00001525,38.00000763
950,75,76.99999725,37.99994476
950,80,78.99996126,38.00000763
950,85,80.99998813,38.00000763
950,90,80.99998813,38.00000763
950,95,85.99996101,38.00000763
950,100,85.99996101,38.99998963
1000,5,59.99998888,42.99998051
1000,10,62.99999775,43.99996251
1000,15,64.99996176,38.00000763
1000,20,64.99996176,38.00000763
1000,25,67.00005149,37.99994476
1000,30,69.9999975,38.99998963
1000,35,69.9999975,38.00000763
1000,40,70.99997951,38.99998963
1000,45,73.99998838,38.99998963
1000,50,76.00001525,38.99998963
1000,50,74.99997038,38.99998963
1000,55,76.99999725,38.99998963
1000,60,78.99996126,38.99998963
1000,65,79.00002412,38.99998963
1000,70,79.99994326,38.99998963
1000,75,82.000033,39.00005249
1000,80,83.999997,39.99997163
1000,85,84.99997901,39.99997163
1000,90,84.99997901,39.99997163
1000,95,90.99999676,38.99998963
1000,100,89.99995189,39.99997163
1000,100,92.99996076,39.99997163
1000,150,106.0000411,40.99995364
